Tanggal,Kehilangan pengguna,Catatan
Nov 2011,0,
Des 2011,0,
Jan 2012,0,
Feb 2012,0,
Mar 2012,0,
Apr 2012,0,
Mei 2012,0,
Jun 2012,0,
Jul 2012,0,
Agu 2012,0,
Sep 2012,0,
Okt 2012,0,
Nov 2012,0,
Des 2012,0,
Jan 2013,0,
Feb 2013,0,
Mar 2013,0,
Apr 2013,0,
Mei 2013,0,
Jun 2013,0,
Jul 2013,0,
Agu 2013,0,
Sep 2013,0,
Okt 2013,0,
Nov 2013,0,
Des 2013,0,
Jan 2014,0,
Feb 2014,0,
Mar 2014,0,
Apr 2014,0,
Mei 2014,0,
Jun 2014,0,
Jul 2014,0,
Agu 2014,0,
Sep 2014,0,
Okt 2014,0,
Nov 2014,0,
Des 2014,0,
Jan 2015,0,
Feb 2015,0,
Mar 2015,0,
Apr 2015,0,
Mei 2015,0,
Jun 2015,0,
Jul 2015,0,
Agu 2015,0,
Sep 2015,0,
Okt 2015,0,
Nov 2015,0,
Des 2015,0,
Jan 2016,0,
Feb 2016,0,
Mar 2016,0,
Apr 2016,0,
Mei 2016,0,
Jun 2016,0,
Jul 2016,0,
Agu 2016,0,
Sep 2016,0,
Okt 2016,0,
Nov 2016,0,
Des 2016,0,
Jan 2017,0,
Feb 2017,0,
Mar 2017,0,
Apr 2017,0,
Mei 2017,0,
Jun 2017,0,
Jul 2017,0,
Agu 2017,0,
Sep 2017,0,
Okt 2017,0,
Nov 2017,0,
Des 2017,0,
Jan 2018,0,
Feb 2018,0,
Mar 2018,0,
Apr 2018,0,
Mei 2018,0,
Jun 2018,0,
Jul 2018,0,
Agu 2018,0,
Sep 2018,0,
Okt 2018,0,
Nov 2018,0,
Des 2018,0,
Jan 2019,0,
Feb 2019,0,
Mar 2019,0,
Apr 2019,0,
Mei 2019,0,
Jun 2019,0,
Jul 2019,0,Pembaruan metrik: Metrik Akuisisi dan Kerugian Anda menurut Pengguna dan Perangkat telah diupdate agar jadi lebih akurat.
Agu 2019,0,
Sep 2019,0,
Okt 2019,0,
Nov 2019,0,
Des 2019,0,Peluncuran rilis: Peluncuran 1.1 dimulai pada 100%.
Jan 2020,15,Peluncuran rilis: Peluncuran 2.1 dimulai pada 100%.
Feb 2020,24,
Mar 2020,52,
Apr 2020,95,
Mei 2020,82,
Jun 2020,102,
Jul 2020,122,
Agu 2020,129,
Sep 2020,102,
Okt 2020,98,Pembaruan metrik: Rekonsiliasi data pada tanggal ini dapat menyebabkan peningkatan satu kali pada jumlah uninstal yang dilaporkan. Pembaruan metrik: Masalah dengan data dapat mengakibatkan pelaporan uninstal yang berlebihan untuk periode ini. Ini tidak memengaruhi performa uninstal yang sebenarnya. Pembaruan metrik: Masalah dengan data dapat mengakibatkan pelaporan uninstal yang berlebihan untuk periode ini. Ini tidak memengaruhi performa uninstal yang sebenarnya.
Nov 2020,94,Pembaruan metrik: Masalah dengan data dapat mengakibatkan pelaporan uninstal yang berlebihan untuk periode ini. Ini tidak memengaruhi performa uninstal yang sebenarnya.
Des 2020,78,
Jan 2021,96,
Feb 2021,96,Pembaruan metrik: Masalah dengan data dapat mengakibatkan pelaporan uninstal yang berlebihan untuk periode ini. Ini tidak memengaruhi performa uninstal yang sebenarnya.
Mar 2021,90,
Apr 2021,72,
Mei 2021,11,
